track.id,track.name,track.popularity,track.album.album_type,track.duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.album.release_date,tag
49FYlytm3dAAraYgpoJZux,Umbrella,82,album,275986,0.583,0.829,-4.603,0.134,0.00864,0,0.0426,0.575,174.028,2008-06-02,2000s
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,84,album,242373,0.486,0.617,-7.115,0.0287,0.0954,3.23e-6,0.109,0.417,138.015,2008-05-26,2000s
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,87,album,284200,0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,2000-05-23,2000s
2nLtzopw4rPReszdYBJU6h,Numb,83,album,185586,0.496,0.863,-4.153,0.0381,0.0046,0,0.639,0.243,110.018,2003-03-24,2000s
0SiywuOBRcynK0uKGWdCnn,Bad Romance,82,album,294573,0.696,0.921,-3.755,0.0363,0.00314,5.24e-5,0.0842,0.714,119.001,2009-11-05,2000s
2gam98EZKrF9XuOkU13ApN,Promiscuous,81,album,242293,0.808,0.97,-6.098,0.0506,0.0569,6.13e-5,0.154,0.868,114.328,2006-01-01,2000s
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,81,album,270506,0.843,0.806,-5.946,0.269,0.143,0,0.0771,0.613,94.948,2000-10-31,2000s
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,81,album,235893,0.331,0.943,-3.188,0.0698,0.00721,2.06e-6,0.242,0.296,94.612,2003-03-04,2000s
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",81,album,216773,0.673,0.886,-4.44,0.0431,0.185,0,0.0826,0.795,97.012,2010-12-01,2000s
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,81,album,203346,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,2008-09-23,2000s
228BxWXUYQPJrJYHDLOHkj,Gasolina,81,album,192600,0.852,0.797,-6.543,0.0614,0.322,2.69e-6,0.0845,0.741,96.008,2004-07-13,2000s
4xkOaSrkexMciUUogZKVTS,Till I Collapse,85,album,297786,0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,2002-05-26,2000s
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,83,album,295533,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,2005-06-07,2000s
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,81,album,269000,0.618,0.938,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,2002-07-09,2000s
2kQuhkFX7uSVepCD3h29g5,Smack That,80,album,212360,0.939,0.742,-5.171,0.0467,0.321,0,0.107,0.924,118.978,2006-01-01,2000s
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,80,album,235213,0.727,0.974,-2.261,0.0664,0.103,5.32e-4,0.174,0.965,79.526,2003,2000s
3UmaczJpikHgJFyBTAJVoz,Stan,84,album,404106,0.78,0.768,-4.325,0.238,0.0371,2.34e-6,0.518,0.507,80.063,2000-05-23,2000s
77loZpT5Y5PRP1S451P9Yz,The Reason,80,album,232800,0.472,0.671,-4.649,0.029,0.0129,0,0.159,0.0681,82.952,2003-12-09,2000s
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,80,album,161506,0.922,0.909,-2.429,0.27,0.0281,0,0.0856,0.309,95.295,1999-11-16,2000s
0BCPKOYdS2jbQ8iyB56Zns,Clocks,81,album,307879,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,2002-08-08,2000s
2bLqfJjuC5syrsgDsZfGmn,The Way I Are,80,album,179120,0.731,0.807,-6.492,0.1,0.181,0.751,0.319,0.765,114.759,2007-01-01,2000s
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,80,album,199693,0.755,0.837,-2.718,0.142,0.0991,0,0.289,0.714,120.028,2010-01-01,2000s
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),80,album,231400,0.918,0.609,-5.64,0.0791,0.0928,0,0.139,0.304,128.008,2008-03-17,2000s
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,80,album,228706,0.609,0.444,-9.129,0.106,0.603,6.86e-6,0.104,0.166,118.402,2003-12-02,2000s
3FAclTFfvUuQYnEsptbK8w,Back To Black,80,album,241293,0.403,0.422,-13.964,0.0373,0.134,2.05e-5,0.0861,0.378,122.728,2006,2000s
6GG73Jik4jUlQCkKg9JuGO,The Middle,80,album,165853,0.643,0.849,-5.428,0.0526,0.0371,0,0.058,0.903,162.152,2001-07-17,2000s
5D2mYZuzcgjpchVY1pmTPh,Candy Shop,80,album,209106,0.614,0.574,-7.961,0.466,0.0253,3.2e-5,0.38,0.755,125.173,2005-03-03,2000s
4wH4dJgrsxONID6KS2tDQM,Maneater,80,album,258893,0.796,0.777,-4.81,0.0397,0.0261,3.58e-4,0.121,0.787,132.722,2006-01-01,2000s
5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,80,album,267960,0.56,0.595,-4.53,0.0274,0.199,6.47e-5,0.132,0.144,104.011,2006-01-01,2000s
5W8YXBz9MTIDyrpYaCg2Ky,Last Resort,80,album,199906,0.589,0.89,-3.719,0.0603,4.81e-4,8.2e-4,0.201,0.692,90.598,2001-04-25,2000s
2CEgGE6aESpnmtfiZwYlbV,Dynamite,79,album,202613,0.751,0.783,-3.724,0.0859,0.00379,0,0.036,0.816,119.975,2010-01-01,2000s
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,79,album,222293,0.924,0.74,-1.299,0.0774,0.0827,0,0.163,0.621,133.974,1999-11-16,2000s
2VOomzT6VavJOGBeySqaMc,Disturbia,79,album,238626,0.707,0.813,-4.515,0.0571,0.0863,0,0.168,0.722,124.921,2008-06-02,2000s
3iVcZ5G6tvkXZkZKlMpIUs,Alright,79,album,219333,0.796,0.766,-5.974,0.238,0.0742,0,0.0827,0.558,110.034,2015-03-16,2000s
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,79,album,262533,0.64,0.743,-4.08,0.0379,0.269,0,0.101,0.361,122.035,2005-09-13,2000s
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,79,album,223840,0.446,0.764,-5.042,0.033,0.00135,0,0.099,0.543,172.094,2001-09-11,2000s
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,79,album,244506,0.585,0.776,-5.898,0.0459,0.0572,7.74e-6,0.3,0.427,77.987,2002-06-04,2000s
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,79,album,267080,0.835,0.669,-5.582,0.0643,0.0336,6.92e-5,0.0535,0.542,122.668,2008-06-02,2000s
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,79,album,272533,0.834,0.699,-3.222,0.178,0.111,0,0.131,0.809,94.086,2003-06-24,2000s
4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,78,album,232533,0.656,0.291,-10.572,0.0293,0.872,0,0.114,0.298,103.971,2005-01-01,2000s
2aI21FnmY7TJVKeMaoQZ0t,Say It Right,78,album,223080,0.872,0.872,-6.328,0.139,0.0476,0.00112,0.0543,0.809,116.948,2006-01-01,2000s
6ic8OlLUNEATToEFU3xmaH,Gimme More,78,album,251240,0.788,0.844,-3.131,0.0334,0.25,6.78e-4,0.0723,0.382,113.324,2007-10-25,2000s
0k2GOhqsrxDTAbFFSdNJjT,Temperature,78,album,218573,0.951,0.6,-4.675,0.0685,0.106,0,0.0712,0.822,125.04,2005-09-26,2000s
20I8RduZC2PWMWTDCZuuAN,Take Me Out,78,album,237026,0.277,0.663,-8.821,0.0377,4.09e-4,5.1e-4,0.136,0.527,104.561,2004-02-16,2000s
4llK75pXNWZz6KAho2Gp16,She Will Be Loved - Radio Mix,78,album,259453,0.651,0.663,-5.569,0.0281,0.228,0,0.0994,0.465,102,2002,2000s
