"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"932","Ocarina Of Time - Opening Theme","2014-06-20",40,"album",158040,0.533,0.0249,-19.236,0.0941,0.989,0.95,0.0908,0.157,74.631,"Edy"
"933","Lost Woods","2014-06-20",41,"album",114050,0.58,0.162,-19.393,0.0616,0.994,0.939,0.127,0.379,133.154,"Edy"
"934","Zelda's Lullaby","2014-06-20",50,"album",124029,0.569,0.0711,-20.209,0.0657,0.989,0.951,0.119,0.156,76.436,"Edy"
"935","Seven Nation Army","2003-04-01",83,"album",232106,0.743,0.446,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,"Edy"
"936","I Wanna Dance with Somebody (Who Loves Me)","1987-06-02",80,"album",291293,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,"Edy"
"937","How Will I Know","1985-02-14",70,"album",275533,0.832,0.544,-12.697,0.0442,0.201,0.000139,0.632,0.928,119.49,"Edy"
"938","Greatest Love of All","1985-02-14",68,"album",291400,0.502,0.305,-16.011,0.0339,0.484,3.55e-06,0.117,0.248,131.242,"Edy"
"939","I Will Always Love You","1992-11-17",76,"album",271093,0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,"Edy"
"940","My Generation - Shel Talmy Stereo Version","1965-12-03",31,"album",201800,0.444,0.896,-5.704,0.0526,0.0088,4.42e-05,0.294,0.813,94.998,"Edy"
"941","Baba O'Riley","1971-08-14",75,"album",300400,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,"Edy"
"942","3 Old Viennese Dances: Kreisler - Liebesleid","2016-06-03",1,"album",305842,0.234,0.0536,-28.515,0.0357,0.994,0.896,0.0922,0.0581,75.161,"Edy"
"943","No Sleep","2011-03-29",64,"album",191320,0.653,0.711,-6.454,0.0623,0.109,0,0.443,0.769,160.048,"Edy"
"944","Comptine d'un autre été, l'après-midi","2001-04-23",72,"album",140733,0.483,0.192,-15.378,0.0469,0.991,0.908,0.106,0.0542,100.848,"Edy"
"945","La Valse d'Amélie - Version piano","2001-04-23",63,"album",158666,0.194,0.179,-16.834,0.0422,0.988,0.866,0.0819,0.179,177.694,"Edy"
"946","Felitsa","1993",35,"album",293533,0.249,0.196,-18.402,0.0347,0.926,0.91,0.101,0.058,112.591,"Edy"
"947","In The Morning Light","2000",33,"compilation",231000,0.344,0.177,-17.959,0.0324,0.974,0.949,0.185,0.173,107.611,"Edy"
"948","One Man's Dream","2000",28,"compilation",166026,0.321,0.145,-19.532,0.0355,0.98,0.941,0.256,0.177,122.39,"Edy"
"949","Santorini - Live","1994-02-21",46,"album",417266,0.212,0.525,-12.309,0.0513,0.519,0.118,0.977,0.0385,168.87,"Edy"
"950","Keys to Imagination - Live","1994-02-21",44,"album",454600,0.245,0.568,-12.468,0.0706,0.303,0.535,0.93,0.27,165.774,"Edy"
"951","Until the Last Moment - Live","1994-02-21",48,"album",397200,0.221,0.258,-16.305,0.0336,0.941,0.883,0.679,0.0486,96.001,"Edy"
"952","The Rain Must Fall - Live","1994-02-21",41,"album",444826,0.581,0.88,-9.483,0.0418,0.446,0.591,0.957,0.432,131.928,"Edy"
"953","Acroyali / Standing In Motion - Live","1994-02-21",44,"album",530906,0.527,0.613,-11.208,0.0446,0.361,0.125,0.945,0.0803,104.879,"Edy"
"954","Within Attraction - Live","1994-02-21",42,"album",466733,0.422,0.716,-10.699,0.066,0.392,0.000332,0.965,0.501,167.956,"Edy"
"955","Nostalgia - Live","1994-02-21",39,"album",346266,0.176,0.492,-10.327,0.0429,0.862,0.0571,0.701,0.0812,90.866,"Edy"
"956","Swept Away - Live","1994-02-21",35,"album",561533,0.632,0.867,-10.923,0.0669,0.311,0.73,0.75,0.506,109.938,"Edy"
"957","Reflections of Passion - Live","1994-02-21",37,"album",301360,0.189,0.259,-14.922,0.0332,0.922,0.662,0.696,0.0614,140.312,"Edy"
"958","Usignolo (Nightingale)","2014-03-21",25,"album",314293,0.332,0.402,-6.176,0.0294,0.901,0.707,0.148,0.247,114.208,"Edy"
"959","Amare Di Nuovo (Adagio in C Minor)","2009-01-01",34,"album",231000,0.155,0.543,-4.983,0.0323,0.808,0.00242,0.0904,0.206,93.091,"Edy"
"960","May Be","2005-05-19",12,"album",240400,0.463,0.122,-22.506,0.0526,0.993,0.867,0.0911,0.12,112.507,"Edy"
"961","River Flows In You","2005-05-19",14,"album",188800,0.318,0.207,-21.487,0.0509,0.987,0.949,0.0881,0.11,145.201,"Edy"
"962","Kiss The Rain","2003-10-23",60,"album",260653,0.56,0.0519,-22.616,0.0423,0.99,0.905,0.117,0.182,132.691,"Edy"
"963","When The Love Falls","2001-11-27",47,"album",197573,0.381,0.158,-24.813,0.0571,0.991,0.937,0.127,0.355,144.737,"Edy"
"964","Gopher Mambo - Remastered 2009","1954",37,"album",137240,0.604,0.431,-10.982,0.11,0.817,6.78e-06,0.0921,0.877,152.952,"Edy"
"965","BedRock","2010-11-22",47,"album",289466,0.736,0.662,-6.158,0.179,0.102,0,0.0894,0.553,148.027,"Edy"
"966","Cough Syrup","2011",43,"album",249520,0.534,0.721,-7.307,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,"Edy"
"967","We Come Running","2013-01-01",55,"album",247506,0.55,0.741,-7.022,0.0405,0.000323,0.00391,0.118,0.351,124.97,"Edy"
"968","Per dimenticare","2009-05-22",60,"album",211360,0.633,0.875,-6.894,0.0525,0.113,0.000435,0.104,0.905,165.044,"Edy"
"969","A Million Dreams","2017-12-08",73,"compilation",269453,0.265,0.312,-11.689,0.0569,0.243,0,0.0893,0.0998,54.747,"Edy"
"970","Baila Morena","2022-11-10",0,"compilation",246400,0.747,0.838,-4.141,0.0379,0.00498,5.28e-05,0.0879,0.847,119.993,"Edy"
"971","Ghetto Gospel","2004-01-01",68,"album",238053,0.794,0.614,-5.352,0.0467,0.0964,0,0.0788,0.663,80.569,"Edy"
"972","Here Without You","2012-01-01",53,"compilation",235640,0.469,0.67,-4.604,0.027,0.00815,0,0.132,0.158,144.045,"Edy"
"973","Let Me Be Myself","2008-01-01",52,"album",228626,0.496,0.675,-6.155,0.028,0.00468,1.16e-05,0.114,0.493,153.988,"Edy"
"974","If I Can't","2003-02-06",71,"album",196626,0.886,0.626,-2.528,0.277,0.265,0,0.024,0.856,93.989,"Edy"
"975","In Da Club","2003-02-06",83,"album",193466,0.899,0.713,-2.752,0.366,0.255,0,0.0708,0.777,90.051,"Edy"
"976","O Mio Bambino Caro (from A Room With A View)","2002-05-22",1,"album",138466,0.251,0.378,-8.312,0.0384,0.946,2.15e-05,0.0879,0.0753,84.196,"Edy"
