"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Playlist"
"798","Roses - Imanbek Remix","2019-10-09",79,"single",176840,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"Edy"
"799","Loca People","2012-01-01",44,"compilation",340840,0.868,0.707,-4.416,0.056,0.000251,0.0329,0.0276,0.692,128.015,"Edy"
"800","I've Told You Now","2014-05-26",52,"album",210369,0.661,0.381,-8.052,0.0355,0.637,8.16e-05,0.0976,0.19,86.078,"Edy"
"801","Like I Can","2014-05-26",81,"album",167065,0.656,0.627,-6.627,0.0379,0.343,2.17e-05,0.124,0.481,99.933,"Edy"
"802","Life Support","2014-05-26",51,"album",173356,0.456,0.473,-7.561,0.0352,0.493,0.000338,0.136,0.216,119.886,"Edy"
"803","Lay Me Down","2014-05-26",69,"album",253208,0.417,0.332,-9.482,0.0494,0.773,1.95e-05,0.109,0.172,119.156,"Edy"
"804","Money On My Mind","2014-05-26",66,"album",192670,0.688,0.841,-5.217,0.179,0.204,0.000295,0.229,0.743,133.912,"Edy"
"805","Stay With Me","2014-05-26",83,"album",172723,0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,"Edy"
"806","I'm Not The Only One","2014-05-26",87,"album",239316,0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,"Edy"
"807","Palace","2017-11-03",52,"album",187156,0.345,0.193,-10.236,0.0328,0.74,4.2e-06,0.117,0.268,77.547,"Edy"
"808","Kiss the Girl","2006-01-01",56,"album",163400,0.667,0.239,-15.923,0.0481,0.686,0,0.104,0.721,134.857,"Edy"
"809","Black Magic Woman","2007-09-25",61,"compilation",195866,0.497,0.552,-7.102,0.0307,0.679,0.0314,0.089,0.633,124.359,"Edy"
"810","Brave","2013-07-16",69,"album",220573,0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,"Edy"
"811","Manhattan","2013-07-16",45,"album",278546,0.415,0.168,-12.223,0.0404,0.972,0.000585,0.113,0.235,90.321,"Edy"
"812","Sunrise ~ The Breakfast Song (Vocals by Aoi Teshima)","2011-07-13",46,"album",184960,0.884,0.228,-13.167,0.0474,0.901,0.00224,0.204,0.584,126.03,"Edy"
"813","Halo","2016-09-30",27,"compilation",248500,0.42,0.606,-6.298,0.101,0.721,0,0.102,0.623,152.402,"Edy"
"814","For the First Time","2010-09-13",67,"album",252440,0.388,0.633,-4.769,0.0275,0.0339,0,0.104,0.381,173.947,"Edy"
"815","Nothing","2010-09-13",61,"album",271773,0.47,0.837,-4.963,0.0396,0.00387,0,0.117,0.522,157.044,"Edy"
"816","The Man Who Can't Be Moved","2008-07-14",74,"album",241373,0.605,0.629,-5.051,0.0279,0.437,0,0.097,0.308,99.894,"Edy"
"817","Calling (Lose My Mind) - Radio Edit","2012-01-01",61,"single",205440,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,"Edy"
"818","It Wasn't Me","2000-08-08",77,"album",227600,0.853,0.606,-4.596,0.0713,0.0561,0,0.313,0.654,94.759,"Edy"
"819","Ciega, Sordomuda","1998-09-29",72,"album",267826,0.746,0.876,-6.042,0.0345,0.0438,2.51e-06,0.112,0.928,119.97,"Edy"
"820","No (feat. Gustavo Cerati)","2005-06-03",66,"album",285040,0.72,0.302,-12.02,0.0324,0.841,0.00451,0.109,0.423,131.989,"Edy"
"821","Suerte (Whenever, Wherever)","2001-11-13",66,"album",194106,0.768,0.845,-4.767,0.0337,0.179,0,0.209,0.891,108.977,"Edy"
"822","Te Aviso, Te Anuncio (Tango)","2001-11-13",61,"album",223200,0.601,0.897,-5.423,0.0495,0.0174,7.61e-06,0.0299,0.66,179.356,"Edy"
"823","Hips Don't Lie (feat. Wyclef Jean)","2005-11-28",83,"album",218093,0.778,0.824,-5.892,0.0707,0.284,0,0.405,0.758,100.024,"Edy"
"824","Estoy Aquí","1995-10-06",69,"album",232466,0.732,0.814,-7.716,0.0402,0.0307,0,0.0691,0.782,116.973,"Edy"
"825","Pies Descalzos, Sueños Blancos","1995-10-06",68,"album",205800,0.854,0.684,-7.333,0.0361,0.00854,0,0.152,0.673,119.957,"Edy"
"826","Loca (feat. El Cata)","2010-10-19",67,"album",183693,0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,"Edy"
"827","Loba","2009",68,"album",189200,0.853,0.706,-7.598,0.0451,0.403,0.046,0.0751,0.778,121.991,"Edy"
"828","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","2010-05-07",80,"single",202626,0.766,0.873,-6.381,0.143,0.00627,0,0.0764,0.743,126.988,"Edy"
"829","Carmen, WD 31 / Act II: ""Votre toast... je peux..."" - ""Toréador, en garde""","1978-01-01",8,"album",480826,0.462,0.166,-19.137,0.172,0.981,7.55e-06,0.411,0.258,105.186,"Edy"
"830","Chandelier","2015-05-04",69,"album",216120,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,"Edy"
"831","Cheap Thrills","2016-01-29",78,"album",211666,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,"Edy"
"832","Elastic Heart","2014-07-04",74,"album",257200,0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,"Edy"
"833","Piano Sonata No. 16 in C Major","2011-07-01",0,"album",191320,0.35,0.172,-21.17,0.042,0.992,0.893,0.0834,0.817,133.117,"Edy"
"834","The Boxer","1970-01-26",70,"album",308520,0.439,0.488,-14.464,0.0615,0.702,0.000339,0.16,0.629,93.017,"Edy"
"835","The Sound of Silence - Acoustic Version","1964-10-19",72,"album",185413,0.525,0.216,-13.551,0.0301,0.837,0,0.107,0.328,106.761,"Edy"
"836","Bridge Over Troubled Water","1970-01-26",70,"album",293120,0.149,0.206,-13.888,0.0323,0.822,0.000649,0.115,0.264,79.764,"Edy"
"837","I'd Do Anything","2018-04-06",62,"album",197640,0.395,0.917,-6.86,0.133,0.00143,0,0.261,0.563,169.088,"Edy"
"838","I'm Just a Kid","2018-04-06",71,"album",198333,0.527,0.834,-5.531,0.0447,0.00107,0.000102,0.0993,0.422,110.065,"Edy"
"839","Addicted","2018-04-06",61,"album",232066,0.522,0.751,-5.46,0.0435,0.000491,2.22e-06,0.158,0.605,139.51,"Edy"
"840","Perfect","2018-04-06",69,"album",277026,0.494,0.672,-4.877,0.0405,0.0273,0,0.105,0.557,156.208,"Edy"
"841","Welcome to My Life","2004-10-26",67,"album",206773,0.421,0.858,-4.535,0.0963,0.0134,0,0.067,0.491,173.255,"Edy"
"842","Sirena","2007-11-13",54,"compilation",267733,0.747,0.841,-6.946,0.0482,0.239,0,0.167,0.708,101.006,"Edy"
"843","All Star","1999-06-08",78,"album",200373,0.731,0.867,-5.881,0.032,0.0395,0,0.0861,0.776,104.019,"Edy"
"844","Walkin' On The Sun","1997-07-08",66,"album",207786,0.745,0.972,-5.598,0.0316,0.346,0,0.148,0.968,123.067,"Edy"
"845","I'm A Believer - Radio Edit","2001-01-01",59,"album",183400,0.559,0.972,-3.524,0.0639,0.0198,6.47e-06,0.393,0.919,82.336,"Edy"
